End date,Bronx,Brooklyn,Manhattan,Queens,Staten Island
01/26/2022,7.986,7.986,7.414,11.253,12.881
01/27/2022,6.768395872,6.768395872,6.241348233,9.748648728,11.34870739
01/28/2022,6.161564387,6.161564387,5.829992282,9.017658909,10.5805949
01/29/2022,5.735303747,5.735303747,5.602747556,8.427018916,9.912755768
01/30/2022,5.4293289,5.4293289,5.396484406,7.912690722,9.369248129
01/31/2022,5.320642458,5.320642458,4.88770388,7.044541646,8.56136683
02/01/2022,5.121104652,5.121104652,4.518132969,6.585192918,8.152112324
02/02/2022,4.591277206,4.591277206,4.178293164,6.155436063,7.632390645
02/03/2022,4.231344889,4.231344889,3.818355999,5.515531435,6.592499814
02/04/2022,3.971372586,3.971372586,3.608381712,5.005570461,6.102544487
02/05/2022,3.981384343,3.981384343,3.578392627,5.025587029,6.102563452
02/06/2022,3.851389498,3.851389498,3.458397413,4.845594292,5.902571766
02/07/2022,2.961391822,2.961391822,3.24839957,4.465597567,5.342575514
02/08/2022,2.641392896,2.641392896,3.018400567,4.05559908,4.872577247
02/09/2022,2.461393403,2.461393403,2.788401038,3.655599795,4.492578064
02/10/2022,2.211393647,2.211393647,2.638401265,3.445600139,4.312578458
02/11/2022,2.071393766,2.071393766,2.488401375,3.155600307,4.032578651
02/12/2022,1.971393826,1.971393826,2.43840143,3.005600391,3.942578746
02/13/2022,1.941393855,1.941393855,2.348401458,2.855600433,3.712578794
02/14/2022,1.781393871,1.781393871,2.288401472,2.635600454,3.512578819
02/15/2022,1.621393878,1.621393878,2.198401479,2.465600465,3.372578832
02/16/2022,1.491393883,1.491393883,2.058401483,2.295600471,3.112578838
02/17/2022,1.421393885,1.421393885,1.978401485,2.185600474,2.852578842
02/18/2022,1.321393886,1.321393886,1.898401486,2.065600475,2.832578843
02/19/2022,1.261393886,1.261393886,1.878401487,2.025600476,2.712578844
02/20/2022,1.241393887,1.241393887,1.878401487,1.965600477,2.702578845
02/21/2022,1.271393887,1.271393887,1.868401487,2.035600477,2.742578845
02/22/2022,1.331393887,1.331393887,1.828401487,2.075600477,2.792578845
02/23/2022,1.401393887,1.401393887,1.918401487,2.135600477,2.972578845
02/24/2022,1.541393887,1.541393887,1.908401487,2.195600477,3.252578845
02/25/2022,1.621393887,1.621393887,1.998401487,2.405600477,3.272578845
02/26/2022,1.601393887,1.601393887,1.968401487,2.285600477,3.142578845
02/27/2022,1.541393887,1.541393887,1.938401487,2.285600477,3.042578845
02/28/2022,1.331393887,1.331393887,1.978401487,2.035600477,2.852578845
03/01/2022,1.161393887,1.161393887,2.018401487,1.835600477,2.462578845
03/02/2022,1.011393887,1.011393887,1.978401487,1.715600477,2.422578845
03/03/2022,0.881393887,0.881393887,1.998401487,1.565600477,2.112578845
03/04/2022,0.851393887,0.851393887,1.938401487,1.415600477,1.932578845
03/05/2022,0.861393887,0.861393887,1.958401487,1.405600477,1.972578845
03/06/2022,0.851393887,0.851393887,1.998401487,1.415600477,1.922578845
03/07/2022,0.811393887,0.811393887,1.988401487,1.355600477,1.852578845
03/08/2022,0.811393887,0.811393887,1.998401487,1.345600477,1.902578845
03/09/2022,0.811393887,0.811393887,1.988401487,1.335600477,1.742578845
03/10/2022,0.811393887,0.811393887,2.008401487,1.305600477,1.832578845
03/11/2022,0.851393887,0.851393887,2.038401487,1.285600477,1.852578845
03/12/2022,0.831393887,0.831393887,2.018401487,1.285600477,1.762578845
03/13/2022,0.851393887,0.851393887,2.068401487,1.325600477,1.872578845
03/14/2022,0.951393887,0.951393887,2.238401487,1.415600477,1.822578845
03/15/2022,0.981393887,0.981393887,2.318401487,1.475600477,1.832578845
03/16/2022,1.051393887,1.051393887,2.488401487,1.525600477,1.792578845
03/17/2022,1.081393887,1.081393887,2.598401487,1.525600477,1.832578845
03/18/2022,1.071393887,1.071393887,2.748401487,1.625600477,1.762578845
03/19/2022,1.081393887,1.081393887,2.838401487,1.675600477,1.852578845
03/20/2022,1.071393887,1.071393887,2.968401487,1.745600477,1.852578845
03/21/2022,1.141393887,1.141393887,3.228401487,1.825600477,1.932578845
03/22/2022,1.201393887,1.201393887,3.478401487,1.915600477,2.082578845
03/23/2022,1.281393887,1.281393887,3.668401487,2.035600477,2.432578845
03/24/2022,1.371393887,1.371393887,3.858401487,2.175600477,2.572578845
03/25/2022,1.401393887,1.401393887,3.958401487,2.245600477,2.732578845
03/26/2022,1.451393887,1.451393887,4.038401487,2.315600477,2.992578845
03/27/2022,1.501393887,1.501393887,4.088401487,2.345600477,3.062578845
03/28/2022,1.521393887,1.521393887,4.218401487,2.475600477,3.432578845
03/29/2022,1.621393887,1.621393887,4.338401487,2.645600477,3.862578845
03/30/2022,1.711393887,1.711393887,4.558401487,2.935600477,4.222578845
03/31/2022,1.681393887,1.681393887,4.708401487,3.025600477,4.062578845
04/01/2022,1.711393887,1.711393887,4.798401487,3.035600477,4.242578845
04/02/2022,1.761393887,1.761393887,4.928401487,3.115600477,4.072578845
04/03/2022,1.771393887,1.771393887,5.088401487,3.185600477,4.242578845
04/04/2022,2.001393887,2.001393887,5.488401487,3.555600477,4.242578845
04/05/2022,2.051393887,2.051393887,5.758401487,3.725600477,4.392578845
04/06/2022,2.101393887,2.101393887,5.998401487,3.715600477,4.332578845
04/07/2022,2.211393887,2.211393887,6.328401487,3.885600477,4.822578845
04/08/2022,2.301393887,2.301393887,6.728401487,4.145600477,5.072578845
04/09/2022,2.271393887,2.271393887,6.858401487,4.265600477,5.212578845
04/10/2022,2.311393887,2.311393887,7.018401487,4.335600477,5.382578845
04/11/2022,2.361393887,2.361393887,7.388401487,4.345600477,5.902578845
04/12/2022,2.451393887,2.451393887,7.578401487,4.465600477,5.872578845
04/13/2022,2.531393887,2.531393887,7.688401487,4.675600477,6.462578845
04/14/2022,2.621393887,2.621393887,7.658401487,4.745600477,6.402578845
04/15/2022,2.811393887,2.811393887,7.898401487,5.115600477,6.632578845
04/16/2022,2.961393887,2.961393887,7.898401487,5.235600477,6.782578845
04/17/2022,2.981393887,2.981393887,7.848401487,5.255600477,6.712578845
04/18/2022,3.211393887,3.211393887,8.118401487,5.815600477,7.272578845
04/19/2022,3.571393887,3.571393887,8.338401487,6.585600477,8.072578845
04/20/2022,4.021393887,4.021393887,8.378401487,7.465600477,8.612578845
04/21/2022,4.651393887,4.651393887,8.418401487,9.015600477,10.23257885
04/22/2022,4.791393887,4.791393887,8.118401487,9.075600477,10.71257885
04/23/2022,4.811393887,4.811393887,8.018401487,9.265600477,10.99257885
04/24/2022,4.921393887,4.921393887,7.958401487,9.615600477,11.71257885
04/25/2022,4.791393887,4.791393887,7.648401487,9.055600477,10.52257885
04/26/2022,4.941393887,4.941393887,7.648401487,8.835600477,10.72257885